names,scores,logfoldchanges,pvals,pvals_adj,log2fc
P4HB,94.66831,1.5800391,0.0,0.0,1.5800391
ENSA,94.47272,1.5157343,0.0,0.0,1.5157343
SCOC,94.40554,1.9800799,0.0,0.0,1.9800799
CYB561,94.35525,2.9065256,0.0,0.0,2.9065256
NDUFS8,94.23629,1.522531,0.0,0.0,1.522531
AURKAIP1,94.21378,1.5105565,0.0,0.0,1.5105565
GLUL,94.085396,1.636576,0.0,0.0,1.636576
MZT2B,94.05747,1.810919,0.0,0.0,1.810919
MT-ND4,94.04986,0.8255915,0.0,0.0,0.8255915
GBAS,94.009,2.0645223,0.0,0.0,2.0645223
JTB,93.93758,1.427805,0.0,0.0,1.427805
LAGE3,93.61022,1.8716321,0.0,0.0,1.8716321
FAM195A,93.60048,2.7001932,0.0,0.0,2.7001932
RHOV,93.47716,6.1991158,0.0,0.0,6.1991158
APP,93.41662,1.6074382,0.0,0.0,1.6074382
IER3,93.3972,1.7688022,0.0,0.0,1.7688022
RAC3,93.2661,4.6421976,0.0,0.0,4.6421976
MLF2,93.16768,1.5453298,0.0,0.0,1.5453298
TCEAL4,92.99511,1.7762493,0.0,0.0,1.7762493
PPP4C,92.91114,1.5868334,0.0,0.0,1.5868334
TMEM147,92.095436,1.5694321,0.0,0.0,1.5694321
BANF1,91.872475,1.4409614,0.0,0.0,1.4409614
TMEM134,91.75985,1.7932273,0.0,0.0,1.7932273
LSR,91.70225,2.8419416,0.0,0.0,2.8419416
DDR1,91.69791,4.5009837,0.0,0.0,4.5009837
NUCKS1,91.59571,1.4839174,0.0,0.0,1.4839174
PVRL4,91.57866,5.8356915,0.0,0.0,5.8356915
UQCRH,91.57546,1.3616438,0.0,0.0,1.3616438
ZKSCAN1,91.412315,2.2346656,0.0,0.0,2.2346656
CUTA,91.37072,1.3688898,0.0,0.0,1.3688898
ICA1,91.26656,2.3830357,0.0,0.0,2.3830357
NAA20,91.262955,1.7879239,0.0,0.0,1.7879239
BZW2,91.14384,2.1461859,0.0,0.0,2.1461859
REEP6,91.04337,5.191946,0.0,0.0,5.191946
RTN3,90.777084,1.6766193,0.0,0.0,1.6766193
AP1S1,90.72581,2.0959005,0.0,0.0,2.0959005
AHCY,90.60221,2.0746279,0.0,0.0,2.0746279
ADAM15,90.5813,1.9839369,0.0,0.0,1.9839369
KIAA1324,90.51814,4.4059796,0.0,0.0,4.4059796
TCEA3,90.39954,3.500683,0.0,0.0,3.500683
ERH,90.36905,1.3588457,0.0,0.0,1.3588457
KDELR2,90.2557,1.555021,0.0,0.0,1.555021
NPDC1,90.25073,1.5482942,0.0,0.0,1.5482942
CCT6A,90.21508,1.5325338,0.0,0.0,1.5325338
TUFM,90.21289,1.435669,0.0,0.0,1.435669
COX5B,90.19004,1.2932234,0.0,0.0,1.2932234
CCT3,90.185036,1.4884577,0.0,0.0,1.4884577
GCSH,89.99715,2.2839854,0.0,0.0,2.2839854
C1QBP,89.90138,1.5328605,0.0,0.0,1.5328605
HN1L,89.529915,3.2348921,0.0,0.0,3.2348921
MRPL3,89.40307,1.8121096,0.0,0.0,1.8121096
ALCAM,89.3324,2.9577146,0.0,0.0,2.9577146
FTH1,89.22352,0.9879125,0.0,0.0,0.9879125
PFDN2,89.126915,1.5694909,0.0,0.0,1.5694909
CKS1B,89.05595,2.2764156,0.0,0.0,2.2764156
PDCD5,88.86521,1.5153303,0.0,0.0,1.5153303
PVRL2,88.83051,1.8672131,0.0,0.0,1.8672131
DPY30,88.81056,1.6994369,0.0,0.0,1.6994369
COX6A1,88.73871,1.2691467,0.0,0.0,1.2691467
STUB1,88.73678,1.6550144,0.0,0.0,1.6550144
TC2N,88.60146,1.9819113,0.0,0.0,1.9819113
YIF1A,88.59139,1.5922482,0.0,0.0,1.5922482
CLU,88.50932,2.2728102,0.0,0.0,2.2728102
PRDX3,88.416275,1.514951,0.0,0.0,1.514951
PLA2G16,88.41336,1.9237926,0.0,0.0,1.9237926
MRPS21,88.36805,1.360532,0.0,0.0,1.360532
CYC1,88.18802,1.5416951,0.0,0.0,1.5416951
SCGB2A2,88.016,5.5928774,0.0,0.0,5.5928774
EIF4EBP1,88.00313,1.8980987,0.0,0.0,1.8980987
PRDX5,87.99537,1.357456,0.0,0.0,1.357456
